URL,DSLD ID,Product Name,Brand Name,Bar Code,Net Contents,Serving Size,Product Type [LanguaL],Supplement Form [LanguaL],Date Entered into DSLD,Market Status,Suggested Use
https://dsld.od.nih.gov/label/6062,6062,Colon Clear Formula,Cellular Research Formulas,,1 Bottle(s); 90 Tablet(s),1 Tablet(s),Other Combinations [A1325],Tablet or Pill [E0155],2012-02-23,On Market,DIRECTIONS - Colon Clear(R) Formula (Adult) Everyone’s digestive system is different; so people respond differently to the Colon Clear Formula. Start by taking one (1) tablet in the morning and one (1) in the evening with food and a full glass of water. If you do not achieve two daily bowel movements within two days; take two (2) tablets in the morning and two (2) in the evening. If you still do not achieve two bowel movements per day; then move up to three (3) tablets in the morning and three (3) in the evening. Do not exceed a total of six (6) tablets a day. Do not take product for more than 30 days at a time; without a break of 30 days or more.
https://dsld.od.nih.gov/label/6063,6063,Magnesium 500 mg,Sundown Naturals,0 30768 03999 8,100 Caplet(s),1 Caplet(s),Mineral [A1299],Other (e.g. tea bag) [E0172],2012-02-23,Off Market,DIRECTIONS: FOR ADULTS; TAKE ONE (1) CAPLET DAILY; PREFERABLY WITH A MEAL. As a reminder; discuss the supplements and medications you take with your health care providers.
https://dsld.od.nih.gov/label/6064,6064,High Potency B & C Complex,Sundown Naturals,0 30768 03991 2,100 Tablet(s),1 Tablet(s),Vitamin [A1302],Tablet or Pill [E0155],2012-02-23,On Market,DIRECTIONS: FOR ADULTS; TAKE ONE (1) TABLET DAILY; PREFERABLY WITH A MEAL. As a reminder; discuss the supplements and medications you take with your health care providers.
https://dsld.od.nih.gov/label/6065,6065,Chelated Calcium And Magnesium,Sundown Naturals,0 30768 03996 7,100 Tablet(s),1 Tablet(s),Mineral [A1299],Tablet or Pill [E0155],2012-02-23,On Market,DIRECTIONS: FOR ADULTS; TAKE ONE (1) TABLET DAILY; PREFERABLY WITH A MEAL. As a reminder; discuss the supplements and medications you take with your health care providers.
https://dsld.od.nih.gov/label/6066,6066,Xcellent C,XYMOGEN,,120 Vegetable Capsule(s),2 Capsule(s),Botanical with Nutrients [A1317],Capsule [E0159],2012-02-23,On Market,Directions: Take two capsules twice daily or as directed by your healthcare practitioner.
https://dsld.od.nih.gov/label/6067,6067,Xcellent E HG-400,XYMOGEN,,120 Softgel(s),1 Softgel(s),Vitamin [A1302],Softgel Capsule [E0161],2012-02-23,Off Market,Directions: Take one softgel daily or as directed by your healthcare practitioner.
https://dsld.od.nih.gov/label/6068,6068,Xcellent E HG-400,XYMOGEN,,60 Softgel(s),1 Softgel(s),Vitamin [A1302],Softgel Capsule [E0161],2012-02-23,Off Market,Directions: Take one softgel daily or as directed by your healthcare practitioner.
https://dsld.od.nih.gov/label/6069,6069,Zinc Glycinate,XYMOGEN,,120 Vegetable Capsule(s),1 Capsule(s),Mineral [A1299],Capsule [E0159],2012-02-23,Off Market,Directions: Take one capsule daily or as directed by your healthcare practitioner.
https://dsld.od.nih.gov/label/6070,6070,Ossopan 1100,XYMOGEN,,120 Vegetable Capsule(s),1 Capsule(s),Mineral [A1299],Capsule [E0159],2012-02-23,Off Market,
https://dsld.od.nih.gov/label/6071,6071,PanXyme pH,XYMOGEN,,180 Vegetable Capsule(s),1 Capsule(s),Non-Nutrient/Non-Botanical [A1309],Capsule [E0159],2012-02-23,Off Market,Directions: Take one capsule with or after each meal or as directed by your healthcare practitioner.
https://dsld.od.nih.gov/label/6072,6072,PanXyme pH,XYMOGEN,,90 Vegetable Capsule(s),1 Capsule(s),Non-Nutrient/Non-Botanical [A1309],Capsule [E0159],2012-02-23,Off Market,Directions: Take one capsule with or after each meal or as directed by your healthcare practitioner.
https://dsld.od.nih.gov/label/6073,6073,PepciX,XYMOGEN,,60 Tablet(s),1 Tablet(s),Mineral [A1299],Tablet or Pill [E0155],2012-02-23,Off Market,DIRECTIONS: Consume whole or chew one tablet with or after a meal; morning and evening; then one to two tablets daily for maintenance; or as directed by your healthcare practitioner.
https://dsld.od.nih.gov/label/6074,6074,Saccharomycin DF,XYMOGEN,,20 Vegetable Capsule(s),1 Capsule(s),Botanical [A1306],Capsule [E0159],2012-02-23,Off Market,Directions: Take one to two capsules per day; or as directed by your healthcare practitioner.
